row_type,scale_presets,dt_levels,physical_lc_bridge_expressed,all_dt_all_scales_passed,phase_lock_target,bridge_ratio,spectral_purity_target,generated_envelope_cv,target_envelope_cv,max_phase_jump,near_slip_count,physical_energy_budget_error,stored_energy_peak_j_min,stored_energy_peak_j_max,drive_work_j_min,drive_work_j_max,resistive_loss_j_min,resistive_loss_j_max,soft_limiter_loss_j_min,soft_limiter_loss_j_max,candidate_no_direct_8_drive,candidate_no_direct_12_drive,candidate_no_target_frequency_injection,realism_score_min,realism_score_max,realism_label,recommended_next_step,scale_preset,scale_description,dt_level,main_dt,effective_dt,seed,candidate_family,source_mode,generated_mode,target_mode,target_detuning,stage_A_offset,generated_damping_factor,A_to_B_coupling,limiter,substeps_per_main_step,bridge_ratio_reference_policy,phase_lock_target_std,energy_at_target,direct_reference_energy_at_target,phase_slip_count,generated_phase_slip_count,physical_duration_s,energy_scale_j,stored_energy_final_j,stored_energy_peak_j,linear_stored_energy_final_j,coupling_stored_energy_final_j,nonlinear_stored_energy_final_j,varactor_energy_final_j,mixing_energy_final_j,drive_work_j,positive_drive_work_j,resistive_loss_j,soft_limiter_loss_j,active_limiter_work_j,nonlinear_limiter_work_j,energy_budget_error_abs_j,energy_budget_error_rel,max_energy_budget_error_rel,peak_voltage_source_v,peak_voltage_generated_v,peak_voltage_target_v,peak_current_source_a,peak_current_generated_a,peak_current_target_a,source_frequency_hz,generated_frequency_hz,target_frequency_hz,nominal_target_frequency_hz,required_nonlinear_capacitance_strength_max_1_per_v2,peak_fractional_capacitance_shift,direct_8_drive_present,direct_12_drive_present,target_frequency_injection_present,required_linear_coupling_k01_fraction,required_linear_coupling_k12_fraction,required_stage_a_mixing_gamma,required_stage_b_mixing_gamma_effective,stage_b_phase_bias_deg,f1_hz,L1_h,C1_f,R1_ohm,Q1,Q1_class,voltage_scale_1_v,current_scale_1_a_per_model_velocity,drive_voltage_peak_1_v,varactor_beta_1_per_v2,f2_hz,L2_h,C2_f,R2_ohm,Q2,Q2_class,voltage_scale_2_v,current_scale_2_a_per_model_velocity,drive_voltage_peak_2_v,varactor_beta_2_per_v2,f3_hz,L3_h,C3_f,R3_ohm,Q3,Q3_class,voltage_scale_3_v,current_scale_3_a_per_model_velocity,drive_voltage_peak_3_v,varactor_beta_3_per_v2,realism_score,passed_physical_lc_gates
aggregate,arbitrary-normalized-scale;audio-scale;low-RF-scale,baseline_dt;half_dt;quarter_dt,True,True,0.9921079893916417,1.60697090835207,0.9227893908634491,0.13469348589909047,0.035823530065374413,0.9719440761648181,0.0,5.1044153106761665e-05,6.151537669182084e-10,0.6151897125087602,3.963335153586563e-09,3.9634675871568072,3.6930827026634768e-09,3.6932034583911038,2.4772601710932877e-10,0.2477399552593496,True,True,True,0.875,0.9333333333333332,physically plausible but needs circuit validation,"SPICE/ngspice validation first, then physical parameter refinement and spatial phase-matching modeling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_summary,,,,,0.9924947285996841,1.60697090835207,0.9227893908634491,0.13244968414051037,0.0356445899168125,0.9719440761648181,0.0,5.1044153106761665e-05,,,,,,,,,True,True,True,,,physically plausible but needs circuit validation,,audio-scale,"Audio-band source near A4 with mH coils, microfarad capacitors, and millijoule-scale storage.",baseline_dt,0.09,0.0225,151369,4->8->12,4,8,12,-0.08,0.04,1.05,0.9,0.03,4,direct_source_plus_generated_ceiling_denominator_not_discovery,0.1227191756187514,0.15308755325744544,0.09526466998362462,0.0,0.0,0.11045454545454546,0.001,2.2524166172459778e-05,0.0006151537669182083,2.2439652222790848e-05,4.2781243095369616e-08,4.173270657356409e-08,7.493380191139182e-10,4.0983368554450173e-08,0.003963335153586563,0.004129810264375463,0.0036930827026634768,0.00024772601710932874,0.0,0.00024772601710932874,2.2995713530905848e-09,5.1044153106761665e-05,5.1044153106761665e-05,8.695916858223908,7.45426506024173,10.392879573865125,0.24150600931479713,0.19232566698129958,0.28008149321355474,439.99999999999994,883.8939999999998,1309.8618642422368,1320.0,0.0011612991471800847,0.08781624537760871,False,False,False,0.004270451612903226,0.004201693548387096,0.5,0.8132784286805222,24.8,439.99999999999994,0.013083830532326679,1e-05,0.9115237649808551,39.68253968253969,mild,11.309733552923253,0.27646015351590175,0.6189358898018152,0.0011612991471800847,883.8939999999998,0.006898299303854762,4.7e-06,0.9010718146479825,42.517006802721085,mild,33.13988170649791,0.3807404187168759,0.0,3.3515980383840496e-05,1309.8618642422368,0.0044737872466887605,3.3e-06,0.4795402674765187,76.78132678132678,mild,58.60952817167993,0.4727835272515514,0.0,4.879403803779018e-06,0.9333333333333332,True
candidate_summary,,,,,0.9921079893916417,1.6070847455623745,0.9228090157737266,0.13325272705015548,0.035790923495737766,0.9059199159538336,0.0,7.489379041591222e-07,,,,,,,,,True,True,True,,,physically plausible but needs circuit validation,,audio-scale,"Audio-band source near A4 with mH coils, microfarad capacitors, and millijoule-scale storage.",half_dt,0.045,0.01125,151706,4->8->12,4,8,12,-0.08,0.04,1.05,0.9,0.03,4,direct_source_plus_generated_ceiling_denominator_not_discovery,0.12585657684371637,0.15310040881818354,0.09526592125333654,0.0,0.0,0.11045454545454546,0.001,2.2524376536141354e-05,0.0006151833925258329,2.24398610793388e-05,4.2779290098866396e-08,4.1736166703690055e-08,7.493762938741639e-10,4.098679040981589e-08,0.003963358790174129,0.004129821567935228,0.003693102504315714,0.00024773202697263356,0.0,0.00024773202697263356,3.3738743979161437e-11,7.489379041591222e-07,7.489379041591222e-07,8.703289738563868,7.475741723261726,10.413395317431776,0.24174593646252254,0.19232316398816288,0.28035898358277755,439.99999999999994,883.8939999999998,1309.8618642422368,1320.0,0.0011612991471800847,0.08796521946632384,False,False,False,0.004270451612903226,0.004201693548387096,0.5,0.8132784286805222,24.8,439.99999999999994,0.013083830532326679,1e-05,0.9115237649808551,39.68253968253969,mild,11.309733552923253,0.27646015351590175,0.6189358898018152,0.0011612991471800847,883.8939999999998,0.006898299303854762,4.7e-06,0.9010718146479825,42.517006802721085,mild,33.13988170649791,0.3807404187168759,0.0,3.3515980383840496e-05,1309.8618642422368,0.0044737872466887605,3.3e-06,0.4795402674765187,76.78132678132678,mild,58.60952817167993,0.4727835272515514,0.0,4.879403803779018e-06,0.9333333333333332,True
candidate_summary,,,,,0.992122374706438,1.6072175180210717,0.9228695717537865,0.13469348589909047,0.035823530065374413,0.9563665506371635,0.0,2.9518414740650257e-08,,,,,,,,,True,True,True,,,physically plausible but needs circuit validation,,audio-scale,"Audio-band source near A4 with mH coils, microfarad capacitors, and millijoule-scale storage.",quarter_dt,0.0225,0.005625,152043,4->8->12,4,8,12,-0.08,0.04,1.05,0.9,0.03,4,direct_source_plus_generated_ceiling_denominator_not_discovery,0.12574572640962617,0.1531081877891725,0.09526289134633807,0.0,0.0,0.11045454545454546,0.001,2.2524206394261003e-05,0.0006151897125087603,2.2439693139704236e-05,4.2778715105051263e-08,4.173453945171713e-08,7.493384545867748e-10,4.098520099713035e-08,0.003963467587156808,0.004129947271927694,0.0036932034583911037,0.0002477399552593496,0.0,0.0002477399552593496,1.3297576928472665e-12,2.9518414740650257e-08,2.9518414740650257e-08,8.703350656621291,7.476672151703751,10.413321415869703,0.2417478288614965,0.1923467799634976,0.2803570423475924,439.99999999999994,883.8939999999998,1309.8618642422368,1320.0,0.0011612991471800847,0.08796645088322606,False,False,False,0.004270451612903226,0.004201693548387096,0.5,0.8132784286805222,24.8,439.99999999999994,0.013083830532326679,1e-05,0.9115237649808551,39.68253968253969,mild,11.309733552923253,0.27646015351590175,0.6189358898018152,0.0011612991471800847,883.8939999999998,0.006898299303854762,4.7e-06,0.9010718146479825,42.517006802721085,mild,33.13988170649791,0.3807404187168759,0.0,3.3515980383840496e-05,1309.8618642422368,0.0044737872466887605,3.3e-06,0.4795402674765187,76.78132678132678,mild,58.60952817167993,0.4727835272515514,0.0,4.879403803779018e-06,0.9333333333333332,True
candidate_summary,,,,,0.9924947285996841,1.60697090835207,0.9227893908634491,0.13244968414051037,0.0356445899168125,0.9719440761648181,0.0,5.1044153106761665e-05,,,,,,,,,True,True,True,,,physically plausible but needs circuit validation,,low-RF-scale,"Low-RF source near 1 MHz with nF/pF capacitors, microhenry coils, and nanojoule-scale storage.",baseline_dt,0.09,0.0225,151369,4->8->12,4,8,12,-0.08,0.04,1.05,0.9,0.03,4,direct_source_plus_generated_ceiling_denominator_not_discovery,0.1227191756187514,0.15308755325744544,0.09526466998362462,0.0,0.0,4.8599999999999995e-05,1e-09,2.252416617245978e-11,6.151537669182084e-10,2.2439652222790847e-11,4.2781243095369616e-14,4.173270657356409e-14,7.493380191139182e-16,4.098336855445017e-14,3.963335153586563e-09,4.129810264375463e-09,3.6930827026634768e-09,2.4772601710932877e-10,0.0,2.4772601710932877e-10,2.299571353090585e-15,5.1044153106761665e-05,5.1044153106761665e-05,0.8695916858223909,0.7454265060241729,1.0392879573865126,0.005488772938972664,0.0043710378859386275,0.006365488482126246,1000000.0,2008849.9999999998,2976958.7823687205,3000000.0,0.11612991471800838,0.08781624537760864,False,False,False,0.004270451612903226,0.004201693548387096,0.5,0.8132784286805222,24.8,1000000.0,2.5330295910584444e-05,1e-09,4.010704565915761,39.68253968253969,mild,1.1309733552923256,0.0062831853071795875,0.06189358898018153,0.11612991471800838,2008849.9999999998,1.3355107452262815e-05,4.7e-10,3.964715984451122,42.517006802721085,mild,3.313988170649791,0.008653191334474454,0.0,0.0033515980383840497,2976958.7823687205,8.66125210958944e-06,3.3e-10,2.109977176896682,76.78132678132678,mild,5.860952817167994,0.010745080164807989,0.0,0.00048794038037790167,0.9333333333333332,True
candidate_summary,,,,,0.9921079893916417,1.6070847455623745,0.9228090157737266,0.13325272705015548,0.035790923495737766,0.9059199159538336,0.0,7.489379041591222e-07,,,,,,,,,True,True,True,,,physically plausible but needs circuit validation,,low-RF-scale,"Low-RF source near 1 MHz with nF/pF capacitors, microhenry coils, and nanojoule-scale storage.",half_dt,0.045,0.01125,151706,4->8->12,4,8,12,-0.08,0.04,1.05,0.9,0.03,4,direct_source_plus_generated_ceiling_denominator_not_discovery,0.12585657684371637,0.15310040881818354,0.09526592125333654,0.0,0.0,4.8599999999999995e-05,1e-09,2.2524376536141353e-11,6.15183392525833e-10,2.24398610793388e-11,4.27792900988664e-14,4.173616670369006e-14,7.493762938741638e-16,4.098679040981589e-14,3.96335879017413e-09,4.1298215679352284e-09,3.693102504315714e-09,2.477320269726336e-10,0.0,2.477320269726336e-10,3.3738743979161436e-17,7.489379041591222e-07,7.489379041591222e-07,0.8703289738563869,0.7475741723261726,1.0413395317431777,0.005494225828693696,0.004370980999730975,0.006371795081426763,1000000.0,2008849.9999999998,2976958.7823687205,3000000.0,0.11612991471800838,0.08796521946632378,False,False,False,0.004270451612903226,0.004201693548387096,0.5,0.8132784286805222,24.8,1000000.0,2.5330295910584444e-05,1e-09,4.010704565915761,39.68253968253969,mild,1.1309733552923256,0.0062831853071795875,0.06189358898018153,0.11612991471800838,2008849.9999999998,1.3355107452262815e-05,4.7e-10,3.964715984451122,42.517006802721085,mild,3.313988170649791,0.008653191334474454,0.0,0.0033515980383840497,2976958.7823687205,8.66125210958944e-06,3.3e-10,2.109977176896682,76.78132678132678,mild,5.860952817167994,0.010745080164807989,0.0,0.00048794038037790167,0.9333333333333332,True
candidate_summary,,,,,0.992122374706438,1.6072175180210717,0.9228695717537865,0.13469348589909047,0.035823530065374413,0.9563665506371635,0.0,2.9518414740650257e-08,,,,,,,,,True,True,True,,,physically plausible but needs circuit validation,,low-RF-scale,"Low-RF source near 1 MHz with nF/pF capacitors, microhenry coils, and nanojoule-scale storage.",quarter_dt,0.0225,0.005625,152043,4->8->12,4,8,12,-0.08,0.04,1.05,0.9,0.03,4,direct_source_plus_generated_ceiling_denominator_not_discovery,0.12574572640962617,0.1531081877891725,0.09526289134633807,0.0,0.0,4.8599999999999995e-05,1e-09,2.2524206394261007e-11,6.151897125087602e-10,2.2439693139704236e-11,4.277871510505126e-14,4.173453945171713e-14,7.493384545867748e-16,4.0985200997130354e-14,3.963467587156807e-09,4.129947271927695e-09,3.693203458391104e-09,2.4773995525934963e-10,0.0,2.4773995525934963e-10,1.3297576928472667e-18,2.9518414740650257e-08,2.9518414740650257e-08,0.8703350656621294,0.747667215170375,1.0413321415869705,0.005494268837761286,0.004371517726443128,0.006371750962445283,1000000.0,2008849.9999999998,2976958.7823687205,3000000.0,0.11612991471800838,0.08796645088322605,False,False,False,0.004270451612903226,0.004201693548387096,0.5,0.8132784286805222,24.8,1000000.0,2.5330295910584444e-05,1e-09,4.010704565915761,39.68253968253969,mild,1.1309733552923256,0.0062831853071795875,0.06189358898018153,0.11612991471800838,2008849.9999999998,1.3355107452262815e-05,4.7e-10,3.964715984451122,42.517006802721085,mild,3.313988170649791,0.008653191334474454,0.0,0.0033515980383840497,2976958.7823687205,8.66125210958944e-06,3.3e-10,2.109977176896682,76.78132678132678,mild,5.860952817167994,0.010745080164807989,0.0,0.00048794038037790167,0.9333333333333332,True
candidate_summary,,,,,0.9924947285996841,1.60697090835207,0.9227893908634491,0.13244968414051037,0.0356445899168125,0.9719440761648181,0.0,5.1044153106761665e-05,,,,,,,,,True,True,True,,,physically plausible but needs circuit validation,,arbitrary-normalized-scale,"Dimensioned version of the normalized validation scale; useful for audit math, not hardware sizing.",baseline_dt,0.09,0.0225,151369,4->8->12,4,8,12,-0.08,0.04,1.05,0.9,0.03,4,direct_source_plus_generated_ceiling_denominator_not_discovery,0.1227191756187514,0.15308755325744544,0.09526466998362462,0.0,0.0,270.0,1.0,0.022524166172459777,0.6151537669182083,0.022439652222790846,4.2781243095369615e-05,4.173270657356409e-05,7.493380191139182e-07,4.098336855445017e-05,3.963335153586563,4.129810264375463,3.6930827026634767,0.24772601710932876,0.0,0.24772601710932876,2.299571353090585e-06,5.1044153106761665e-05,5.1044153106761665e-05,0.8695916858223909,0.5110386655285498,0.5970254778999365,0.9879791290150793,1.1476465273249432,1.9945607651667534,0.18,0.36159299999999994,0.5358525808263697,0.54,0.11612991471800838,0.08781624537760864,False,False,False,0.004270451612903226,0.004201693548387096,0.5,0.8132784286805222,24.8,0.18,0.7817992564995199,1.0,0.022281692032865345,39.68253968253969,mild,1.1309733552923256,1.1309733552923256,0.06189358898018153,0.11612991471800838,0.36159299999999994,0.1937314969927013,1.0,0.010352313959400153,42.517006802721085,mild,2.271955824778988,2.271955824778988,0.0,0.007131059656136276,0.5358525808263697,0.08821645667174427,1.0,0.003868291490977249,76.78132678132678,mild,3.366861062662508,3.366861062662508,0.0,0.0014786072132663692,0.875,True
candidate_summary,,,,,0.9921079893916417,1.6070847455623745,0.9228090157737266,0.13325272705015548,0.035790923495737766,0.9059199159538336,0.0,7.489379041591222e-07,,,,,,,,,True,True,True,,,physically plausible but needs circuit validation,,arbitrary-normalized-scale,"Dimensioned version of the normalized validation scale; useful for audit math, not hardware sizing.",half_dt,0.045,0.01125,151706,4->8->12,4,8,12,-0.08,0.04,1.05,0.9,0.03,4,direct_source_plus_generated_ceiling_denominator_not_discovery,0.12585657684371637,0.15310040881818354,0.09526592125333654,0.0,0.0,270.0,1.0,0.022524376536141352,0.6151833925258329,0.022439861079338798,4.2779290098866395e-05,4.173616670369005e-05,7.493762938741638e-07,4.098679040981589e-05,3.963358790174129,4.129821567935228,3.6931025043157137,0.24773202697263358,0.0,0.24773202697263358,3.3738743979161434e-08,7.489379041591222e-07,7.489379041591222e-07,0.8703289738563869,0.5125110313648928,0.598204017641526,0.9889606491648651,1.1476315914537911,1.9965368736086682,0.18,0.36159299999999994,0.5358525808263697,0.54,0.11612991471800838,0.08796521946632378,False,False,False,0.004270451612903226,0.004201693548387096,0.5,0.8132784286805222,24.8,0.18,0.7817992564995199,1.0,0.022281692032865345,39.68253968253969,mild,1.1309733552923256,1.1309733552923256,0.06189358898018153,0.11612991471800838,0.36159299999999994,0.1937314969927013,1.0,0.010352313959400153,42.517006802721085,mild,2.271955824778988,2.271955824778988,0.0,0.007131059656136276,0.5358525808263697,0.08821645667174427,1.0,0.003868291490977249,76.78132678132678,mild,3.366861062662508,3.366861062662508,0.0,0.0014786072132663692,0.875,True
candidate_summary,,,,,0.992122374706438,1.6072175180210717,0.9228695717537865,0.13469348589909047,0.035823530065374413,0.9563665506371635,0.0,2.9518414740650257e-08,,,,,,,,,True,True,True,,,physically plausible but needs circuit validation,,arbitrary-normalized-scale,"Dimensioned version of the normalized validation scale; useful for audit math, not hardware sizing.",quarter_dt,0.0225,0.005625,152043,4->8->12,4,8,12,-0.08,0.04,1.05,0.9,0.03,4,direct_source_plus_generated_ceiling_denominator_not_discovery,0.12574572640962617,0.1531081877891725,0.09526289134633807,0.0,0.0,270.0,1.0,0.022524206394261004,0.6151897125087602,0.022439693139704234,4.277871510505126e-05,4.1734539451717126e-05,7.493384545867748e-07,4.098520099713035e-05,3.9634675871568072,4.129947271927694,3.6932034583911038,0.2477399552593496,0.0,0.2477399552593496,1.3297576928472665e-09,2.9518414740650257e-08,2.9518414740650257e-08,0.8703350656621294,0.5125748183251819,0.5981997723199959,0.9889683907970314,1.14777251280094,1.9965230493766855,0.18,0.36159299999999994,0.5358525808263697,0.54,0.11612991471800838,0.08796645088322605,False,False,False,0.004270451612903226,0.004201693548387096,0.5,0.8132784286805222,24.8,0.18,0.7817992564995199,1.0,0.022281692032865345,39.68253968253969,mild,1.1309733552923256,1.1309733552923256,0.06189358898018153,0.11612991471800838,0.36159299999999994,0.1937314969927013,1.0,0.010352313959400153,42.517006802721085,mild,2.271955824778988,2.271955824778988,0.0,0.007131059656136276,0.5358525808263697,0.08821645667174427,1.0,0.003868291490977249,76.78132678132678,mild,3.366861062662508,3.366861062662508,0.0,0.0014786072132663692,0.875,True
